token,symbol,name,exch_seg
21697,MANAV-SM,MANAV,NSE
17854,DLINKINDIA-BL,DLINKINDIA,NSE
7,AARTIIND-EQ,AARTIIND,NSE
874,ASTRON-EQ,ASTRON,NSE
6881,692HP33-SG,692HP33,NSE
11094,755BR32-SG,755BR32,NSE
99926011,Nifty Midcap 100,NIFTY MIDCAP 100,NSE
17480,CONTROLPR-BL,CONTROLPR,NSE
22255,NDRAUTO-EQ,NDRAUTO,NSE
7709,712UP32-SG,712UP32,NSE
1565,RVHL-EQ,RVHL,NSE
12733,SANDESH-BL,SANDESH,NSE
18976,522GS2025-GS,522GS2025,NSE
896,KHAICHEM-EQ,KHAICHEM,NSE
25,ADANIENT-EQ,ADANIENT,NSE
20960,72AS29-SG,72AS29,NSE
4894,71JK33-SG,71JK33,NSE
8420,MAM150ETF-BL,MAM150ETF,NSE
5524,628GJ27-SG,628GJ27,NSE
8289,709GJ32-SG,709GJ32,NSE
17559,MI2MPD-MF,MI2MPD,NSE
19559,BHANDARI-BL,BHANDARI,NSE
11161,756WB42-SG,756WB42,NSE
2388,NELCO-EQ,NELCO,NSE
779,654UP30-SG,654UP30,NSE
20851,702AS30-SG,702AS30,NSE
5468,698AS31A-SG,698AS31A,NSE
5889,693AP38-SG,693AP38,NSE
1085,GABRIEL-EQ,GABRIEL,NSE
5602,SFMP50GR-MF,SFMP50GR,NSE
11428,182D060423-TB,182D060423,NSE
6531,NHIT-IV,NHIT,NSE
25721,POLYMED-BL,POLYMED,NSE
3522,688MH33-SG,688MH33,NSE
12390,GHCL-BL,GHCL,NSE
10769,AHIMSA-SM,AHIMSA,NSE
16866,LPDC-BL,LPDC,NSE
163,APOLLOTYRE-EQ,APOLLOTYRE,NSE
6195,IIFL-NK,IIFL,NSE
12462,IFCI-BL,IFCI,NSE
2454,CENTRUM-EQ,CENTRUM,NSE
2252,ERFLNCDI-N5,ERFLNCDI,NSE
2043,RAMCOCEM-EQ,RAMCOCEM,NSE
19100,SILLYMONKS-BL,SILLYMONKS,NSE
13702,VISHWARAJ-EQ,VISHWARAJ,NSE
9802,TIL-BE,TIL,NSE
10981,74GS2062-GS,74GS2062,NSE
739,COROMANDEL-EQ,COROMANDEL,NSE
13932,91D280423-TB,91D280423,NSE
17824,ARSHIYA-BL,ARSHIYA,NSE
21645,724AP35-SG,724AP35,NSE
3149,BORORENEW-EQ,BORORENEW,NSE
7755,IBULHSGFIN-Y5,IBULHSGFIN,NSE
17279,BLS-EQ,BLS,NSE
10499,H1158D46DD-MF,H1158D46DD,NSE
17632,COMPINFO-EQ,COMPINFO,NSE
4934,IPL-EQ,IPL,NSE
14236,HDFCMID150-EQ,HDFCMID150,NSE
12443,HINDUNILVR-BL,HINDUNILVR,NSE
21134,TEJASNET-BL,TEJASNET,NSE
12558,LICHSGFIN-BL,LICHSGFIN,NSE
781,DALMIASUG-EQ,DALMIASUG,NSE
13609,SCPOFA6GR-MF,SCPOFA6GR,NSE
6426,MANORG-BL,MANORG,NSE
5111,KPIGREEN-BL,KPIGREEN,NSE
15342,SHALPAINTS-EQ,SHALPAINTS,NSE
22191,698TS28-SG,698TS28,NSE
10833,SFMP63DR-MF,SFMP63DR,NSE
12036,FIVESTAR-BL,FIVESTAR,NSE
29754,UTFDQIPIGI-MF,UTFDQIPIGI,NSE
22337,644GJ29A-SG,644GJ29A,NSE
12460,IDBI-BL,IDBI,NSE
11416,77PN42-SG,77PN42,NSE
17106,SUMICHEM-BL,SUMICHEM,NSE
12713,RELIANCE-BL,RELIANCE,NSE
13303,IEL-EQ,IEL,NSE
12815,TATAINVEST-BL,TATAINVEST,NSE
12395,GLENMARK-BL,GLENMARK,NSE
10741,NTPC-N9,NTPC,NSE
9168,UTISXN50-EQ,UTISXN50,NSE
4997,697RJ31-SG,697RJ31,NSE
17094,CROMPTON-EQ,CROMPTON,NSE
8427,RAJRILTD-BL,RAJRILTD,NSE
1959,662TS41-SG,662TS41,NSE
2411,JYOTISTRUC-BZ,JYOTISTRUC,NSE
3517,679HR31-SG,679HR31,NSE
7835,WEL-EQ,WEL,NSE
13053,182D080623-TB,182D080623,NSE
11258,HDFCQUAL-BL,HDFCQUAL,NSE
5239,MAHAPEXLTD-EQ,MAHAPEXLTD,NSE
4790,706KL38-SG,706KL38,NSE
10500,H1158D46DG-MF,H1158D46DG,NSE
2268,MOTOGENFIN-EQ,MOTOGENFIN,NSE
20569,668AP24-SG,668AP24,NSE
21683,BRNL-EQ,BRNL,NSE
4179,SUNDRMBRAK-EQ,SUNDRMBRAK,NSE
12161,TOKYOPLAST-BL,TOKYOPLAST,NSE
12588,MASTEK-BL,MASTEK,NSE
10683,SHAIVAL-SM,SHAIVAL,NSE
25331,APLLTD-BL,APLLTD,NSE
12587,MARUTI-BL,MARUTI,NSE
11412,782AP35-SG,782AP35,NSE
22453,668AP35-SG,668AP35,NSE
8067,DHANILOANS-NX,DHANILOANS,NSE
13627,763HR33-SG,763HR33,NSE
13198,ICICICOMMO-EQ,ICICICOMMO,NSE
12039,UTIDAP35P1-MF,UTIDAP35P1,NSE
879,ASTRON-BL,ASTRON,NSE
14232,HDFCBSE500-BL,HDFCBSE500,NSE
1315,GALAXYSURF-EQ,GALAXYSURF,NSE
4575,675GJ31-SG,675GJ31,NSE
16825,VINYLINDIA-BL,VINYLINDIA,NSE
17530,MAHASTEEL-BL,MAHASTEEL,NSE
13243,765GA32-SG,765GA32,NSE
5662,BEWLTD-SM,BEWLTD,NSE
13793,PARSVNATH-BL,PARSVNATH,NSE
12868,VARDMNPOLY-BL,VARDMNPOLY,NSE
20797,708KA31-SG,708KA31,NSE
16253,EBBETF0430-EQ,EBBETF0430,NSE
21004,PSB-BL,PSB,NSE
9649,AURUMPP-BL,AURUMPP,NSE
10893,DBOL-EQ,DBOL,NSE
13638,SKYGOLD-BL,SKYGOLD,NSE
10880,SFMP64DR-MF,SFMP64DR,NSE
6913,RPPL-EQ,RPPL,NSE
440,69GA30A-SG,69GA30A,NSE
14428,GOLDBEES-EQ,GOLDBEES,NSE
22602,PFS-EQ,PFS,NSE
9862,WEWIN-EQ,WEWIN,NSE
12757,HONDAPOWER-BL,HONDAPOWER,NSE
12055,BPL-BL,BPL,NSE
31240,HUDCO-N2,HUDCO,NSE
5151,PCHFL-N8,PCHFL,NSE
3646,VARDMNPOLY-EQ,VARDMNPOLY,NSE
2320,SMCGLOBAL-EQ,SMCGLOBAL,NSE
15355,RECLTD-EQ,RECLTD,NSE
6696,699GS2051-GS,699GS2051,NSE
28862,PROZONINTU-BL,PROZONINTU,NSE
7744,IBULHSGFIN-Y2,IBULHSGFIN,NSE
99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,NSE
13448,IBULHSGFIN-ZR,IBULHSGFIN,NSE
13984,JASH-BL,JASH,NSE
3001,ICICI500-EQ,ICICI500,NSE
20159,ARIHANTSUP-EQ,ARIHANTSUP,NSE
5247,AAREYDRUGS-BL,AAREYDRUGS,NSE
10293,KCK-SM,KCK,NSE
7016,SHIVALIK-EQ,SHIVALIK,NSE
13771,AARVEEDEN-EQ,AARVEEDEN,NSE
22304,652TS50-SG,652TS50,NSE
22044,717RJ30-SG,717RJ30,NSE
16900,DPWIRES-EQ,DPWIRES,NSE
1100,GARFIBRES-EQ,GARFIBRES,NSE
9907,763GS2059-GS,763GS2059,NSE
22139,721TR29-SG,721TR29,NSE
19280,EMAMIREAL-BL,EMAMIREAL,NSE
1000,656MH32-SG,656MH32,NSE
5467,638MH27-SG,638MH27,NSE
11936,FUSION-BL,FUSION,NSE
14815,ADSL-BL,ADSL,NSE
22961,RMFINMRGG2-MF,RMFINMRGG2,NSE
611,66RJ30A-SG,66RJ30A,NSE
18102,KOTAKNIFTY-EQ,KOTAKNIFTY,NSE
1663,ATFL-EQ,ATFL,NSE
12627,NDTV-BL,NDTV,NSE
10216,795AP40-SG,795AP40,NSE
21808,SBILIFE-EQ,SBILIFE,NSE
19913,DMART-EQ,DMART,NSE
28955,DUCON-BL,DUCON,NSE
17517,SETCO-BL,SETCO,NSE
17307,AJMERA-EQ,AJMERA,NSE
1499,RBA-BL,RBA,NSE
4221,VISAKAIND-EQ,VISAKAIND,NSE
4128,GS150325C-GS,GS150325C,NSE
5994,601RJ26-SG,601RJ26,NSE
8777,H1876D46RQ-MF,H1876D46RQ,NSE
17804,LSIL-BL,LSIL,NSE
469,71AP37-SG,71AP37,NSE
5695,687UP31-SG,687UP31,NSE
13173,TINPLATE-BL,TINPLATE,NSE
2466,MIDHANI-BL,MIDHANI,NSE
7050,666TN29-SG,666TN29,NSE
19146,UMESLTD-BL,UMESLTD,NSE
14989,CSBBANK-BL,CSBBANK,NSE
31966,NHBTF2014-N2,NHBTF2014,NSE
21544,JUBLINDS-BL,JUBLINDS,NSE
5896,693TS37-SG,693TS37,NSE
13111,ORIENTABRA-EQ,ORIENTABRA,NSE
8926,VERANDA-BL,VERANDA,NSE
3957,GS121223C-GS,GS121223C,NSE
3541,AXISBPSETF-BL,AXISBPSETF,NSE
99926024,Nifty PSE,NIFTY PSE,NSE
5090,717TS41-SG,717TS41,NSE
11840,NH-EQ,NH,NSE
2404,735KA40-SG,735KA40,NSE
9356,MSTCLTD-EQ,MSTCLTD,NSE
12464,IGARASHI-BL,IGARASHI,NSE
24595,RUSHIL-EQ,RUSHIL,NSE
2535,PGHH-EQ,PGHH,NSE
21651,730JK29-SG,730JK29,NSE
22385,SGBAUG28V-GB,SGBAUG28V,NSE
12637,NOIDATOLL-BL,NOIDATOLL,NSE
21913,684KL30-SG,684KL30,NSE
5324,SFMP48DR-MF,SFMP48DR,NSE
1897,SHRIRAMFIN-YN,SHRIRAMFIN,NSE
29008,SUNCLAYLTD-EQ,SUNCLAYLTD,NSE
22298,642PN30-SG,642PN30,NSE
18434,BIGBLOC-BL,BIGBLOC,NSE
14042,INCREDFIN-N5,INCREDFIN,NSE
13844,MMFL-EQ,MMFL,NSE
13583,ATLANTA-BL,ATLANTA,NSE
3519,683WB31A-SG,683WB31A,NSE
99926036,Nifty Consumption,NIFTY CONSUMPTION,NSE
12326,DCW-BL,DCW,NSE
13270,JKCEMENT-EQ,JKCEMENT,NSE
638,SUULD-EQ,SUULD,NSE
22169,711UK30-SG,711UK30,NSE
11399,SALZERELEC-EQ,SALZERELEC,NSE
10761,DSPSILVETF-EQ,DSPSILVETF,NSE
5920,VIRESCENT-IV,VIRESCENT,NSE
12459,ICIL-BL,ICIL,NSE
24,SCAPDVR-BL,SCAPDVR,NSE
21077,SURANASOL-EQ,SURANASOL,NSE
11665,NHIT-N2,NHIT,NSE
13495,JKLAKSHMI-BL,JKLAKSHMI,NSE
15316,IRB-BL,IRB,NSE
5865,LAGNAM-EQ,LAGNAM,NSE
11212,SHK-EQ,SHK,NSE
16629,VAISHALI-BL,VAISHALI,NSE
12431,HDFCBANK-BL,HDFCBANK,NSE
4025,GS170624C-GS,GS170624C,NSE
16728,RPGLIFE-BL,RPGLIFE,NSE
11667,DWARKESH-EQ,DWARKESH,NSE
3672,SOLARA-EQ,SOLARA,NSE
6556,694AS31-SG,694AS31,NSE
14163,762MP34-SG,762MP34,NSE
7141,ZODIAC-BL,ZODIAC,NSE
17580,FISTIP2WDP-MF,FISTIP2WDP,NSE
18386,SGBMAR24-GB,SGBMAR24,NSE
4964,ABSLFTTIDN-MF,ABSLFTTIDN,NSE
11368,IBULHSGFIN-Z9,IBULHSGFIN,NSE
13773,757GJ32-SG,757GJ32,NSE
13567,RAMANEWS-BL,RAMANEWS,NSE
715,CLNINDIA-EQ,CLNINDIA,NSE
20110,GREENPOWER-EQ,GREENPOWER,NSE
6411,LAMBODHARA-BL,LAMBODHARA,NSE
4914,IBUCCREDIT-N9,IBUCCREDIT,NSE
22341,662WB35-SG,662WB35,NSE
2649,PCBL-EQ,PCBL,NSE
12714,RENUKA-BL,RENUKA,NSE
4749,CONCOR-EQ,CONCOR,NSE
12869,KRISHANA-BL,KRISHANA,NSE
17333,MHRIL-EQ,MHRIL,NSE
5321,EC7RG-MF,EC7RG,NSE
8298,713BR32-SG,713BR32,NSE
21926,69MN30-SG,69MN30,NSE
12428,HCL-INSYS-BL,HCL-INSYS,NSE
8197,712PN37-SG,712PN37,NSE
22998,NMFINQIDP1-MF,NMFINQIDP1,NSE
11429,364D051023-TB,364D051023,NSE
2181,BOSCHLTD-EQ,BOSCHLTD,NSE
3011,WONDERLA-BL,WONDERLA,NSE
967,SUBEXLTD-EQ,SUBEXLTD,NSE
17032,THYROCARE-EQ,THYROCARE,NSE
9530,746AP27-SG,746AP27,NSE
19731,GPPL-EQ,GPPL,NSE
1415,GLOBAL-EQ,GLOBAL,NSE
21045,44HR23-SG,44HR23,NSE
13744,SHYAMTEL-BL,SHYAMTEL,NSE
3949,JAKHARIA-SM,JAKHARIA,NSE
15269,JKIL-BL,JKIL,NSE
9330,364D040523-TB,364D040523,NSE
4067,MARICO-EQ,MARICO,NSE
9870,795HR32-SG,795HR32,NSE
12407,GRANULES-BL,GRANULES,NSE
347,BANARBEADS-EQ,BANARBEADS,NSE
8962,HARDWYN-EQ,HARDWYN,NSE
3412,AJOONI-BL,AJOONI,NSE
3154,BORORENEW-BL,BORORENEW,NSE
18321,LGBBROSLTD-EQ,LGBBROSLTD,NSE
6986,473KA23-SG,473KA23,NSE
2560,724RJ36-SG,724RJ36,NSE
12289,739ML26-SG,739ML26,NSE
9046,AGROPHOS-EQ,AGROPHOS,NSE
13563,GRINDWELL-BL,GRINDWELL,NSE
12619,PRECAM-BL,PRECAM,NSE
21046,795JK30-SG,795JK30,NSE
12273,BOMDYEING-BL,BOMDYEING,NSE
13814,KAMOPAINTS-EQ,KAMOPAINTS,NSE
4571,684RJ31A-SG,684RJ31A,NSE
31762,NTPC-N3,NTPC,NSE
2616,SEAMECLTD-EQ,SEAMECLTD,NSE
11999,FCSSOFT-EQ,FCSSOFT,NSE
8806,SONAMCLOCK-EQ,SONAMCLOCK,NSE
17587,BIRLATYRE-BL,BIRLATYRE,NSE
13436,LOKESHMACH-EQ,LOKESHMACH,NSE
7899,724RJ32-SG,724RJ32,NSE
8213,IONEXCHANG-BL,IONEXCHANG,NSE
14049,INCREDFIN-N7,INCREDFIN,NSE
22073,659RJ30-SG,659RJ30,NSE
13818,DAAWAT-BL,DAAWAT,NSE
13618,ANANTRAJ-BL,ANANTRAJ,NSE
18429,SGBAUG24-GB,SGBAUG24,NSE
1860,666JH34-SG,666JH34,NSE
25540,UJAAS-BE,UJAAS,NSE
13158,UTIRFP35P2-MF,UTIRFP35P2,NSE
1373,665JK30-SG,665JK30,NSE
467,HDFCLIFE-EQ,HDFCLIFE,NSE
12678,762GA32-SG,762GA32,NSE
13755,NAUKRI-BL,NAUKRI,NSE
11978,768KA31-SG,768KA31,NSE
10784,774TS46-SG,774TS46,NSE
12717,RICOAUTO-BL,RICOAUTO,NSE
12393,GIPCL-BL,GIPCL,NSE
13136,91D160323-TB,91D160323,NSE
12298,CINEVISTA-BL,CINEVISTA,NSE
12701,768JK37-SG,768JK37,NSE
14157,UNOMINDA-BL,UNOMINDA,NSE
21054,688AP35-SG,688AP35,NSE
5033,695GJ31-SG,695GJ31,NSE
3488,CLSEL-BL,CLSEL,NSE
1389,SUPREMEENG-EQ,SUPREMEENG,NSE
13050,754KA41-SG,754KA41,NSE
6159,ARTNIRMAN-BE,ARTNIRMAN,NSE
14250,MITTAL-RE-BL,MITTAL-RE,NSE
1200,MAESGETF-EQ,MAESGETF,NSE
23848,UFIS2QPRP5-MF,UFIS2QPRP5,NSE
21052,635BR23-SG,635BR23,NSE
9879,CHEVIOT-EQ,CHEVIOT,NSE
7897,727AR32-SG,727AR32,NSE
9227,L&TFINANCE-NE,L&TFINANCE,NSE
8882,TNIDETF-EQ,TNIDETF,NSE
16913,ARTEMISMED-EQ,ARTEMISMED,NSE
2151,BDL-BL,BDL,NSE
10844,77TN42-SG,77TN42,NSE
7374,STAR-EQ,STAR,NSE
9428,SKIPPER-EQ,SKIPPER,NSE
9674,L&TFINANCE-NV,L&TFINANCE,NSE
22027,701PY26-SG,701PY26,NSE
3327,SUDARSCHEM-EQ,SUDARSCHEM,NSE
9099,748PN42-SG,748PN42,NSE
22083,710UP30-SG,710UP30,NSE
12270,BLUEDART-BL,BLUEDART,NSE
5842,IBULHSGFIN-NO,IBULHSGFIN,NSE
5308,ICICIFMCG-BL,ICICIFMCG,NSE
3736,WALCHANNAG-EQ,WALCHANNAG,NSE
4149,GS120625C-GS,GS120625C,NSE
838,645HP29-SG,645HP29,NSE
9888,769GS2043-GS,769GS2043,NSE
5987,693KA32-SG,693KA32,NSE
12139,REMSONSIND-BL,REMSONSIND,NSE
11602,INDSWFTLTD-EQ,INDSWFTLTD,NSE
22157,711CG30-SG,711CG30,NSE
6858,DHRUV-EQ,DHRUV,NSE
20846,717HP30-SG,717HP30,NSE
9372,LEMERITE-SM,LEMERITE,NSE
12861,USHAMART-BL,USHAMART,NSE
12370,364D231123-TB,364D231123,NSE
21729,MATRIMONY-BL,MATRIMONY,NSE
286,GICRE-BL,GICRE,NSE
12125,OILCOUNTUB-BL,OILCOUNTUB,NSE
5071,SHEMAROO-BL,SHEMAROO,NSE
20178,AKSHARCHEM-EQ,AKSHARCHEM,NSE
21402,GANGESSECU-BL,GANGESSECU,NSE
1649,66UP30A-SG,66UP30A,NSE
10331,781HR32A-SG,781HR32A,NSE
1525,656UP30-SG,656UP30,NSE
10234,765TN29-SG,765TN29,NSE
18898,JPINFRATEC-BL,JPINFRATEC,NSE
7608,CMSINFO-BL,CMSINFO,NSE
16927,JOCIL-EQ,JOCIL,NSE
21162,695AS30-SG,695AS30,NSE
3202,563GS2026-GS,563GS2026,NSE
745,SBIETFIT-BL,SBIETFIT,NSE
15187,BRIGADE-BL,BRIGADE,NSE
12735,SAREGAMA-BL,SAREGAMA,NSE
591,IRFC-N8,IRFC,NSE
25091,ASAHISONG-BL,ASAHISONG,NSE
4330,GS311225C-GS,GS311225C,NSE
21215,452BR23-SG,452BR23,NSE
14014,LUMAXTECH-EQ,LUMAXTECH,NSE
14921,TAKE-BL,TAKE,NSE
13611,IRCTC-EQ,IRCTC,NSE
2656,729KA39-SG,729KA39,NSE
4989,683WB28-SG,683WB28,NSE
1374,IREDA-N1,IREDA,NSE
4829,DODLA-BL,DODLA,NSE
17945,SUVENPHAR-EQ,SUVENPHAR,NSE
12569,MPSLTD-BL,MPSLTD,NSE
1599,MGEL-BL,MGEL,NSE
2792,EASEMYTRIP-EQ,EASEMYTRIP,NSE
8736,PNBGILTS-EQ,PNBGILTS,NSE
8128,699MH29-SG,699MH29,NSE
24199,VADILALIND-BL,VADILALIND,NSE
22301,645MN30-SG,645MN30,NSE
11293,UNIENTER-EQ,UNIENTER,NSE
10198,785MP32-SG,785MP32,NSE
2533,547AS24-SG,547AS24,NSE
7518,TREJHARA-EQ,TREJHARA,NSE
9873,769HR27-SG,769HR27,NSE
5352,EXXARO-EQ,EXXARO,NSE
8608,SWARAJ-SM,SWARAJ,NSE
13366,755GJ30-SG,755GJ30,NSE
4980,675BR27-SG,675BR27,NSE
11825,IBULHSGFIN-ZD,IBULHSGFIN,NSE
1376,668JH32-SG,668JH32,NSE
12092,KAYNES-EQ,KAYNES,NSE
10332,79HR34-SG,79HR34,NSE
1428,662NL30-SG,662NL30,NSE
12751,SHOPERSTOP-BL,SHOPERSTOP,NSE
10484,364D270723-TB,364D270723,NSE
12236,BAJFINANCE-BL,BAJFINANCE,NSE
20534,GRAVITA-EQ,GRAVITA,NSE
10533,SHARDAMOTR-BL,SHARDAMOTR,NSE
10591,SHREEPUSHK-BL,SHREEPUSHK,NSE
21787,695PN25-SG,695PN25,NSE
19114,NBIFIN-BL,NBIFIN,NSE
2243,H3360D30RQ-MF,H3360D30RQ,NSE
10576,NIFTYBEES-EQ,NIFTYBEES,NSE
5589,VIJAYA-BL,VIJAYA,NSE
5677,685MP31-SG,685MP31,NSE
15001,ASCOM-SM,ASCOM,NSE
14771,TARMAT-EQ,TARMAT,NSE
2414,723WB41-SG,723WB41,NSE
6835,795GS2032-GS,795GS2032,NSE
11165,COFFEEDAY-EQ,COFFEEDAY,NSE
3232,LODHA-BL,LODHA,NSE
22172,69UK30-SG,69UK30,NSE
20914,672AP28-SG,672AP28,NSE
31840,SREEL-BL,SREEL,NSE
10601,LOYALTEX-BL,LOYALTEX,NSE
13953,KOTAKLIQ-BL,KOTAKLIQ,NSE
10280,KAYA-BL,KAYA,NSE
1330,HDFC-EQ,HDFC,NSE
12848,N1NSETEST-EQ,N1NSETEST,NSE
4960,GANGAFORGE-BL,GANGAFORGE,NSE
13973,772UP36-SG,772UP36,NSE
6969,GOCOLORS-BL,GOCOLORS,NSE
7874,734TS34-SG,734TS34,NSE
13182,ROHLTD-EQ,ROHLTD,NSE
5320,EC7RD-MF,EC7RD,NSE
3692,704AP41-SG,704AP41,NSE
4306,SHRIRAMFIN-EQ,SHRIRAMFIN,NSE
18208,ORIENTLTD-EQ,ORIENTLTD,NSE
3476,INDIGRID-NL,INDIGRID,NSE
9449,776PN37-SG,776PN37,NSE
8311,BLUESTARCO-EQ,BLUESTARCO,NSE
2251,699RJ41-SG,699RJ41,NSE
15590,HCG-BL,HCG,NSE
22208,735TS30-SG,735TS30,NSE
3499,TATASTEEL-EQ,TATASTEEL,NSE
480,BIRLACORPN-EQ,BIRLACORPN,NSE
8719,739TN42-SG,739TN42,NSE
6713,MOLDTKPAC-EQ,MOLDTKPAC,NSE
14935,ISMTLTD-BL,ISMTLTD,NSE
13306,IEL-BL,IEL,NSE
11282,769BR32-SG,769BR32,NSE
7296,698GA31-SG,698GA31,NSE
12313,766KA42-SG,766KA42,NSE
3638,61RJ26-SG,61RJ26,NSE
20598,658GA30-SG,658GA30,NSE
19107,ROLLT-BL,ROLLT,NSE
4124,GS220225C-GS,GS220225C,NSE
22261,65GA30-SG,65GA30,NSE
13017,DHANILOANS-NO,DHANILOANS,NSE
14500,GARFIBRES-BL,GARFIBRES,NSE
16786,GET&D-BL,GET&D,NSE
22012,704ML30-SG,704ML30,NSE
10738,OFSS-EQ,OFSS,NSE
7506,WOCKPHARMA-EQ,WOCKPHARMA,NSE
18659,MARATHON-EQ,MARATHON,NSE
1827,645GJ30A-SG,645GJ30A,NSE
12473,INDIAGLYCO-BL,INDIAGLYCO,NSE
10579,MARKSANS-EQ,MARKSANS,NSE
